Year,Event,Gold,Gold_Nation,Silver,Silver_Nation,Bronze,Bronze_Nation
"2016","Athletics Men 100 metres","Usain Bolt","Jamaica","Justin Gatlin","United States","Andre De Grasse","Canada"
"2016","Athletics Men 200 metres","Usain Bolt","Jamaica","Andre De Grasse","Canada","Christophe Lemaitre","France"
"2014","Alpine Skiing Men downhill","Matthias Mayer","Austria","Christof Innerhofer","Italy","Kjetil Jansrud","Norway"
"2014","Alpine Skiing Men giant slalom","Ted Ligety","United States","Steve Missillier","France","Alexis Pinturault","France"
"2014","Alpine Skiing Men slalom","Mario Matt","Austria","Marcel Hirscher","Austria","Henrik Kristoffersen","Norway"
"2014","Alpine Skiing Men super g","Kjetil Jansrud","Norway","Andrew Weibrecht","United States","['Bode Miller', 'Jan Hudec']","['United States', 'Canada']"
"2014","Alpine Skiing Women combined","Maria H_fl-Riesch","Germany","Nicole Hosp","Austria","Julia Mancuso","United States"
"2014","Alpine Skiing Women downhill","['Tina Maze', 'Dominique Gisin']","['Slovenia', 'Switzerland']",,,"Lara Gut","Switzerland"
"2014","Alpine Skiing Women giant slalom","Tina Maze","Slovenia","Anna Fenninger","Austria","Viktoria Rebensburg","Germany"
"2014","Alpine Skiing Women slalom","Mikaela Shiffrin","United States","Marlies Schild","Austria","Kathrin Zettel","Austria"
"2014","Alpine Skiing Women super g","Anna Fenninger","Austria","Maria H_fl-Riesch","Germany","Nicole Hosp","Austria"
"2014","Biathlon Men 10 kilometres sprint","Ole Einar Bj_rndalen","Norway","Dominik Landertinger","Austria","Jaroslav Soukup","Czech Republic"
"2014","Biathlon Men 12_5 kilometres pursuit","Martin Fourcade","France","Ond_ej Moravec","Czech Republic","Jean-Guillaume Beatrix","France"
"2014","Biathlon Men 15 kilometres mass start","Emil Hegle Svendsen","Norway","Martin Fourcade","France","Ond_ej Moravec","Czech Republic"
"2014","Biathlon Men 20 kilometres","Martin Fourcade","France","Erik Lesser","Germany","Yevgeny Garanichev","Russia"
"2014","Biathlon Men 4 x 7_5 kilometres relay","Russia","Russia","Germany","Germany","Austria","Austria"
"2014","Biathlon Mixed 2 x 6 kilometres and 2 x 7_5 kilometres relay","Norway","Norway","Czech Republic","Czech Republic","Italy","Italy"
"2014","Biathlon Women 10 kilometres pursuit","Darya Domracheva","Belarus","Tora Berger","Norway","Teja Gregorin","Slovenia"
"2014","Biathlon Women 12_5 kilometres mass start","Darya Domracheva","Belarus","Gabriela Soukalov_","Czech Republic","Tiril Eckhoff","Norway"
"2014","Biathlon Women 15 kilometres","Darya Domracheva","Belarus","Selina Gasparin","Switzerland","Nadezhda Skardino","Belarus"
"2014","Biathlon Women 4 x 6 kilometres relay","Ukraine","Ukraine","Russia","Russia","Norway","Norway"
"2014","Biathlon Women 7_5 kilometres sprint","Anastasia Kuzmina","Slovakia","Olga Vilukhina","Russia","Vita Semerenko","Ukraine"
"2014","Bobsleigh Men four","Russia","Russia","Latvia","Latvia","United States","United States"
"2014","Bobsleigh Men two","Russia","Russia","Switzerland","Switzerland","United States","United States"
"2014","Bobsleigh Women two","Canada","Canada","United States","United States","United States","United States"
"2014","Cross Country Skiing Men 15 kilometres","Dario Cologna","Switzerland","Johan Olsson","Sweden","Daniel Richardsson","Sweden"
"2014","Cross Country Skiing Men 30 km skiathlon","Dario Cologna","Switzerland","Marcus Hellner","Sweden","Martin Johnsrud Sundby","Norway"
"2014","Cross Country Skiing Men 4 x 10 kilometres relay","Sweden","Sweden","Russia","Russia","France","France"
"2014","Cross Country Skiing Men 50 kilometres","Aleksandr Legkov","Russia","Maksim Vylegzhanin","Russia","Ilya Chernousov","Russia"
"2014","Cross Country Skiing Men sprint","Ola Vigen Hattestad","Norway","Teodor Peterson","Sweden","Emil J_nsson","Sweden"
"2014","Cross Country Skiing Men team sprint","Finland","Finland","Russia","Russia","Sweden","Sweden"
"2014","Cross Country Skiing Women 10 kilometres","Justyna Kowalczyk","Poland","Charlotte Kalla","Sweden","Therese Johaug","Norway"
"2014","Cross Country Skiing Women 15 km skiathlon","Marit Bj_rgen","Norway","Charlotte Kalla","Sweden","Heidi Weng","Norway"
"2014","Cross Country Skiing Women 30 kilometres","Marit Bj_rgen","Norway","Therese Johaug","Norway","Kristin St_rmer Steira","Norway"
"2014","Cross Country Skiing Women 4 x 5 kilometres relay","Sweden","Sweden","Finland","Finland","Germany","Germany"
"2014","Cross Country Skiing Women sprint","Maiken Caspersen Falla","Norway","Ingvild Flugstad _stberg","Norway","Vesna Fabjan","Slovenia"
"2014","Cross Country Skiing Women team sprint","Norway","Norway","Finland","Finland","Sweden","Sweden"
"2014","Curling Men curling","Canada","Canada","Great Britain","Great Britain","Sweden","Sweden"
"2014","Curling Women curling","Canada","Canada","Sweden","Sweden","Great Britain","Great Britain"
"2014","Figure Skating Men singles","Yuzuru Hanyu","Japan","Patrick Chan","Canada","Denis Ten","Kazakhstan"
"2014","Figure Skating Mixed ice dancing","United States","United States","Canada","Canada","Russia","Russia"
"2014","Figure Skating Mixed pairs","Russia","Russia","Russia","Russia","Germany","Germany"
"2014","Figure Skating Mixed team","Russia","Russia","Canada","Canada","United States","United States"
"2014","Figure Skating Women singles","Adelina Sotnikova","Russia","Yu-Na Kim","South Korea","Carolina Kostner","Italy"
"2014","Freestyle Skiing Men aerials","Anton Kushnir","Belarus","David Morris","Australia","Jia Zongyang","China"
"2014","Freestyle Skiing Men halfpipe","David Wise","United States","Mike Riddle","Canada","Kevin Rolland","France"
"2014","Freestyle Skiing Men moguls","Alexandre Bilodeau","Canada","Mikael Kingsbury","Canada","Aleksandr Smyshlyayev","Russia"
"2014","Freestyle Skiing Men ski cross","Jean-Frederic Chapuis","France","Arnaud Bovolenta","France","Jonathan Midol","France"
"2014","Freestyle Skiing Men slopestyle","Joss Christensen","United States","Gus Kenworthy","United States","Nick Goepper","United States"
"2014","Freestyle Skiing Women aerials","Alla Tsuper","Belarus","Xu Mengtao","China","Lydia Ierodiaconou-Lassila","Australia"
"2014","Freestyle Skiing Women halfpipe","Maddie Bowman","United States","Marie Martinod","France","Ayana Onozuka","Japan"
"2014","Freestyle Skiing Women moguls","Justine Dufour-Lapointe","Canada","Chloe Dufour-Lapointe","Canada","Hannah Kearney","United States"
"2014","Freestyle Skiing Women ski cross","Marielle Thompson","Canada","Kelsey Serwa","Canada","Anna Holmlund","Sweden"
"2014","Freestyle Skiing Women slopestyle","Dara Howell","Canada","Devin Logan","United States","Kim Lamarre","Canada"
"2014","Ice Hockey Men ice hockey","Canada","Canada","Sweden","Sweden","Finland","Finland"
"2014","Ice Hockey Women ice hockey","Canada","Canada","United States","United States","Switzerland","Switzerland"
"2014","Luge Men singles","Felix Loch","Germany","Albert Demchenko","Russia","Armin Z_ggeler","Italy"
"2014","Luge Mixed Men doubles","Germany","Germany","Austria","Austria","Latvia","Latvia"
"2014","Luge Mixed team relay","Germany","Germany","Russia","Russia","Latvia","Latvia"
"2014","Luge Women singles","Natalie Geisenberger","Germany","Tatjana H_fner","Germany","Erin Hamlin","United States"
"2014","Nordic Combined Men large hill 10 km individual","J_rgen Graabak","Norway","Magnus Moan","Norway","Fabian Rie_le","Germany"
"2014","Nordic Combined Men normal hill 10 km individual","Eric Frenzel","Germany","Akito Watabe","Japan","Magnus Krog","Norway"
"2014","Nordic Combined Men team","Norway","Norway","Germany","Germany","Austria","Austria"
"2014","Short Track Speed Skating Men 1000 metres","Viktor An","Russia","Vladimir Grigoryev","Russia","Sjinkie Knegt","Netherlands"
"2014","Short Track Speed Skating Men 1500 metres","Charles Hamelin","Canada","Han Tianyu","China","Viktor An","Russia"
"2014","Short Track Speed Skating Men 500 metres","Viktor An","Russia","Wu Dajing","China","Charle Cournoyer","Canada"
"2014","Short Track Speed Skating Men 5000 metres relay","Russia","Russia","United States","United States","China","China"
"2014","Short Track Speed Skating Women 1000 metres","Park Seung-Hui","South Korea","Fan Kexin","China","Shim Seok-Hui","South Korea"
"2014","Short Track Speed Skating Women 1500 metres","Zhou Yang","China","Shim Seok-Hui","South Korea","Arianna Fontana","Italy"
"2014","Short Track Speed Skating Women 3000 metres relay","South Korea","South Korea","Canada","Canada","Italy","Italy"
"2014","Short Track Speed Skating Women 500 metres","Li Jianrou","China","Arianna Fontana","Italy","Park Seung-Hui","South Korea"
"2014","Skeleton Men skeleton","Aleksandr Tretyakov","Russia","M_rti__ Dukurs","Latvia","Matt Antoine","United States"
"2014","Skeleton Women skeleton","Lizzy Yarnold","Great Britain","Noelle Pikus-Pace","United States","Yelena Nikitina","Russia"
"2014","Ski Jumping Men large hill individual","Kamil Stoch","Poland","Noriaki Kasai","Japan","Peter Prevc","Slovenia"
"2014","Ski Jumping Men large hill team","Germany","Germany","Austria","Austria","Japan","Japan"
"2014","Ski Jumping Men normal hill individual","Kamil Stoch","Poland","Peter Prevc","Slovenia","Anders Bardal","Norway"
"2014","Ski Jumping Women normal hill individual","Carina Vogt","Germany","Daniela Iraschko-Stolz","Austria","Coline Mattel","France"
"2014","Snowboarding Men boardercross","Pierre Vaultier","France","Nikolay Olyunin","Russia","Alex Deibold","United States"
"2014","Snowboarding Men halfpipe","Iouri Podladtchikov","Switzerland","Ayumu Hirano","Japan","Taku Hiraoka","Japan"
"2014","Snowboarding Men parallel giant slalom","Vic Wild","Russia","Nevin Galmarini","Switzerland","_an Ko_ir","Slovenia"
"2014","Snowboarding Men parallel slalom","Vic Wild","Russia","_an Ko_ir","Slovenia","Benjamin Karl","Austria"
"2014","Snowboarding Men slopestyle","Sage Kotsenburg","United States","St_le Sandbech","Norway","Mark McMorris","Canada"
"2014","Snowboarding Women boardercross","Eva Samkov_","Czech Republic","Dominique Maltais","Canada","Chloe Trespeuch","France"
"2014","Snowboarding Women halfpipe","Kaitlyn Farrington","United States","Torah Bright","Australia","Kelly Clark","United States"
"2014","Snowboarding Women parallel giant slalom","Patrizia Kummer","Switzerland","Tomoka Takeuchi","Japan","Alyona Zavarzina","Russia"
